episode_id,user_id,status,scenario_type,topic,scheduled_at,location,pre_anxiety,pre_crying_risk,pre_speech_block_risk,prep_journaling_10m_intensity,prep_three_messages_intensity,prep_breathing_4_7_8_intensity,prep_roleplay_self_qa_intensity,prep_safe_word_plan_intensity,stress_during,stress_after,crying_level,speech_block_level,expression_score,relationship_impact,partner_reaction,days_after_reflection,would_repeat_preparation,reflection_short
16,2,completed,client,値上げ交渉,2024-08-15T08:45:00,cafe,9,8,5,,,6,5,,9,9,6,6,3,-1,neutral,,,
17,14,completed,other,将来への漠然とした不安,2025-07-03T12:25:00,coworking,5,5,5,4,,,,,4,1,8,7,2,0,very_negative,1,5,正直、今回はタイミングを間違えたかもしれない。
18,19,completed,partner,距離を置きたい,2024-06-15T19:44:00,cafe,9,7,9,7,4,9,,10,10,5,6,6,7,-2,unknown,,,
19,11,completed,friend,疎遠になっている理由,2025-06-12T15:57:00,office,3,4,4,,,10,,,4,3,2,1,7,0,neutral,4,8,正直、今回はタイミングを間違えたかもしれない。
20,10,completed,family,家族との距離感,2025-03-31T08:22:00,home,4,7,1,7,,4,2,,4,0,10,0,0,-3,negative,2,4,相手の反応が予想外で混乱した。振り返りが必要。
21,2,completed,one_on_one,業務負荷の相談,2024-07-02T15:20:00,home,5,3,8,,9,,,,6,5,3,8,5,1,neutral,12,7,かなり落ち着いて話せた。準備が効いた感じがある。
22,19,planned,interview,転職理由,2026-02-02T21:10:00,home,9,7,5,3,,,8,,,,,,,,,,,
23,30,completed,friend,謝罪,2025-05-27T14:42:00,home,1,3,4,,,,8,,3,3,2,1,7,-2,positive,,,
24,3,completed,partner,別れ話,2025-07-04T17:42:00,cafe,6,5,7,6,8,,,7,8,3,5,3,6,-2,positive,4,5,かなり落ち着いて話せた。準備が効いた感じがある。
25,14,completed,one_on_one,業務負荷の相談,2025-02-06T19:35:00,home,4,5,6,10,,,,,0,0,2,3,3,0,negative,1,8,かなりつらかったが、終わってみると少し楽になった。
26,28,completed,family,家族との距離感,2024-03-13T21:00:00,coworking,5,3,5,,,4,,,6,5,4,3,3,-3,very_negative,8,3,かなり落ち着いて話せた。準備が効いた感じがある。
27,24,cancelled,other,セラピーではない雑談,2025-07-03T17:03:00,coworking,8,6,3,6,6,7,,7,,,,,,,,,,
28,23,completed,interview,キャリアの方向性,2024-08-25T20:50:00,client_site,9,7,6,7,8,10,,,10,5,6,4,6,-4,negative,,,
29,17,cancelled,family,親への近況報告,2024-03-01T11:43:00,park,5,4,5,,,5,,,,,,,,,,,,
30,29,cancelled,partner,別れ話,2024-11-04T13:42:00,online,7,6,9,10,,6,,,,,,,,,,,,
31,30,completed,family,家族との距離感,2025-01-25T08:12:00,coworking,6,2,5,6,,,,8,8,4,2,10,2,-3,very_negative,12,5,かなり落ち着いて話せた。準備が効いた感じがある。
32,6,completed,one_on_one,人間関係の摩擦,2025-03-26T11:29:00,coworking,7,8,5,6,,7,5,,5,4,7,3,2,-1,very_negative,6,9,ほとんど話せずに終わってしまった。次は準備を変えたい。
33,9,completed,interview,評価面談,2024-01-12T13:47:00,cafe,3,7,5,,,4,,,3,0,7,3,5,0,unknown,12,7,相手の反応が予想外で混乱した。振り返りが必要。
34,13,completed,client,納期遅延の相談,2024-10-18T18:45:00,park,4,5,6,10,10,,10,,6,2,6,6,4,-1,neutral,3,5,正直、今回はタイミングを間違えたかもしれない。
35,4,completed,family,家族との距離感,2025-07-18T10:14:00,cafe,6,2,6,,6,,,,6,2,9,6,2,-3,neutral,1,6,正直、今回はタイミングを間違えたかもしれない。
36,13,cancelled,one_on_one,評価フィードバック,2025-08-10T19:31:00,park,5,8,4,,,,,,,,,,,,,,,
37,5,completed,partner,お金の話,2024-02-29T22:18:00,home,6,6,7,9,,7,,,6,5,5,7,7,-1,negative,,,
38,29,completed,client,契約更新,2024-02-29T20:25:00,online,8,7,6,,5,,,,7,4,3,6,3,-2,very_positive,8,6,泣かなかったが本音をあまり出せなかった。
39,2,completed,partner,距離を置きたい,2025-01-31T17:47:00,client_site,8,6,7,3,10,3,,,10,8,6,5,6,1,positive,11,8,かなりつらかったが、終わってみると少し楽になった。
40,10,completed,interview,過去の退職理由,2024-08-04T10:50:00,coworking,9,5,4,5,,,,,10,10,6,6,3,-5,very_positive,3,5,かなりつらかったが、終わってみると少し楽になった。
41,1,completed,one_on_one,業務負荷の相談,2025-05-07T17:06:00,cafe,4,6,5,,3,8,,,5,2,8,6,5,0,neutral,6,3,かなり落ち着いて話せた。準備が効いた感じがある。
42,5,planned,family,親への近況報告,2026-02-18T19:07:00,park,7,6,3,,,,,,,,,,,,,,,
43,28,completed,family,家族との距離感,2024-02-05T09:53:00,online,8,6,6,,5,5,,,10,5,5,5,3,-3,positive,,,
44,4,completed,friend,価値観のズレ,2025-02-10T21:35:00,park,3,1,2,10,5,6,1,,2,3,1,4,6,0,positive,12,8,かなり落ち着いて話せた。準備が効いた感じがある。
45,19,completed,partner,将来の暮らし,2024-01-21T10:10:00,park,6,5,5,5,7,6,,,8,5,4,5,4,-1,very_positive,6,7,相手の反応が予想外で混乱した。振り返りが必要。
46,2,completed,one_on_one,キャリア相談,2025-04-24T16:53:00,client_site,8,9,7,10,,,,8,7,10,4,4,4,-2,very_negative,10,4,正直、今回はタイミングを間違えたかもしれない。
47,4,planned,one_on_one,業務負荷の相談,2026-02-03T10:04:00,coworking,6,4,5,,,8,8,,,,,,,,,,,
48,1,completed,other,将来への漠然とした不安,2025-04-17T15:48:00,coworking,1,5,2,,,6,,,0,0,3,2,5,-2,unknown,,,
49,11,cancelled,partner,別れ話,2025-07-15T16:50:00,client_site,4,8,5,6,8,,,7,,,,,,,,,,
50,3,completed,one_on_one,人間関係の摩擦,2025-05-18T16:39:00,office,8,4,6,4,6,,,,10,7,5,4,0,-4,very_negative,12,8,少し泣いたけど言いたいことは伝えられた。
51,4,cancelled,one_on_one,業務負荷の相談,2024-04-07T18:44:00,park,10,5,8,2,9,9,6,,,,,,,,,,,
52,23,completed,interview,転職理由,2025-10-06T13:56:00,park,7,6,8,,2,,,,10,4,7,10,0,-2,unknown,,,
53,5,completed,one_on_one,人間関係の摩擦,2025-04-26T16:26:00,office,4,5,4,4,4,9,,,1,4,4,4,4,-3,very_positive,9,6,かなり落ち着いて話せた。準備が効いた感じがある。
54,3,completed,other,セラピーではない雑談,2024-07-15T08:20:00,online,3,1,6,,8,,8,,4,1,0,6,8,-1,neutral,,,
55,5,completed,interview,評価面談,2025-08-01T16:01:00,client_site,8,7,8,6,6,,,,10,6,5,9,0,-5,neutral,13,6,かなりつらかったが、終わってみると少し楽になった。
56,12,completed,friend,謝罪,2024-04-13T08:22:00,coworking,5,1,1,,,6,3,8,2,3,0,0,8,-1,negative,14,8,正直、今回はタイミングを間違えたかもしれない。
57,1,cancelled,family,介護の相談,2024-04-04T20:23:00,cafe,5,1,1,10,,,,,,,,,,,,,,
58,8,completed,one_on_one,評価フィードバック,2024-10-29T18:18:00,home,6,4,3,,8,5,4,,3,4,2,1,9,-2,neutral,4,9,相手の反応が予想外で混乱した。振り返りが必要。
59,28,completed,interview,キャリアの方向性,2025-10-24T15:23:00,home,6,7,8,6,1,8,6,,6,6,5,10,1,1,positive,,,
60,5,completed,interview,過去の退職理由,2025-10-12T13:45:00,online,10,7,9,6,4,8,,,10,6,4,9,3,-2,neutral,,,
61,5,completed,one_on_one,人間関係の摩擦,2025-07-09T09:08:00,home,6,2,6,10,5,9,,,6,5,1,5,2,2,very_negative,11,3,泣かなかったが本音をあまり出せなかった。
62,3,cancelled,family,親への近況報告,2025-04-26T18:10:00,coworking,7,7,4,,1,,,,,,,,,,,,,
63,1,completed,client,契約更新,2025-09-16T12:30:00,office,4,5,4,9,8,6,,,3,3,4,1,5,-2,positive,5,5,相手の反応が予想外で混乱した。振り返りが必要。
64,24,completed,one_on_one,キャリア相談,2024-10-29T22:36:00,client_site,6,3,3,7,9,,,,6,3,0,0,6,-4,very_negative,,,
65,4,completed,one_on_one,キャリア相談,2024-12-04T16:18:00,online,8,3,6,,8,8,,,7,5,2,5,4,-5,negative,9,8,かなり落ち着いて話せた。準備が効いた感じがある。
66,2,completed,other,将来への漠然とした不安,2024-09-30T17:21:00,coworking,9,1,4,8,,,,5,5,9,0,0,1,-3,negative,11,4,相手の反応が予想外で混乱した。振り返りが必要。
67,2,completed,family,親への近況報告,2025-07-07T19:07:00,office,2,4,6,,,,8,,3,0,4,8,8,-1,very_negative,,,
68,13,completed,family,家族との距離感,2024-06-12T11:17:00,coworking,7,10,3,,,3,,,6,7,8,1,7,0,unknown,8,5,かなりつらかったが、終わってみると少し楽になった。
69,3,completed,partner,お金の話,2025-06-02T12:59:00,coworking,9,8,5,,,6,,3,10,8,6,2,0,-3,very_negative,5,2,少し泣いたけど言いたいことは伝えられた。
70,13,completed,interview,転職理由,2024-05-26T14:56:00,park,4,10,4,3,,3,,,5,1,8,5,2,-3,very_negative,12,5,相手の反応が予想外で混乱した。振り返りが必要。
71,13,planned,friend,久しぶりの再会,2025-12-22T13:50:00,home,5,2,7,,4,,6,,,,,,,,,,,
72,18,completed,other,セラピーではない雑談,2025-07-17T19:36:00,online,6,3,6,,5,,,,3,6,6,2,5,1,neutral,,,
73,18,planned,client,値上げ交渉,2026-01-17T11:43:00,park,6,6,4,,,,6,,,,,,,,,,,
74,15,completed,friend,疎遠になっている理由,2024-03-01T22:32:00,cafe,4,1,5,,,,,2,4,1,5,7,5,-1,positive,3,6,かなりつらかったが、終わってみると少し楽になった。
75,29,completed,one_on_one,人間関係の摩擦,2025-03-02T21:58:00,cafe,0,4,3,,8,,9,9,1,0,2,0,7,-1,positive,,,
76,17,completed,interview,評価面談,2025-08-19T20:59:00,online,9,9,8,5,3,5,,,10,8,10,6,1,-2,positive,,,
77,30,cancelled,partner,別れ話,2024-10-01T12:03:00,coworking,3,10,3,,,,,,,,,,,,,,,
78,4,cancelled,friend,疎遠になっている理由,2024-08-01T21:14:00,home,6,5,6,,8,7,,,,,,,,,,,,
79,1,completed,one_on_one,評価フィードバック,2024-02-11T11:51:00,park,7,4,4,8,,6,,,6,3,1,4,3,0,neutral,5,5,相手の反応が予想外で混乱した。振り返りが必要。
80,5,planned,client,納期遅延の相談,2026-01-16T21:20:00,office,9,3,7,8,,8,6,,,,,,,,,,,
81,13,planned,family,介護の相談,2026-01-18T21:31:00,client_site,7,4,5,,,,,10,,,,,,,,,,
82,14,completed,friend,疎遠になっている理由,2024-04-17T21:40:00,office,1,4,5,,,,5,7,1,0,3,7,3,-3,unknown,2,4,泣かなかったが本音をあまり出せなかった。
83,7,cancelled,client,契約更新,2026-02-20T14:05:00,home,6,4,6,,,,5,,,,,,,,,,,
84,16,cancelled,interview,評価面談,2025-09-19T20:21:00,coworking,9,10,6,,,,,,,,,,,,,,,
85,13,completed,interview,過去の退職理由,2023-12-15T11:37:00,office,7,6,8,8,,,,,3,6,5,7,4,-3,very_negative,,,
86,4,completed,friend,久しぶりの再会,2025-09-08T12:50:00,cafe,2,7,1,,,,8,,2,0,7,1,4,0,positive,3,3,泣かなかったが本音をあまり出せなかった。
87,5,completed,interview,過去の退職理由,2025-06-18T09:38:00,coworking,9,8,7,8,4,,,,9,9,8,8,1,0,positive,,,
88,17,completed,partner,距離を置きたい,2024-06-16T15:06:00,office,9,6,4,5,9,,,3,8,10,6,2,4,-4,negative,7,4,かなり落ち着いて話せた。準備が効いた感じがある。
89,2,completed,partner,距離を置きたい,2025-06-09T10:43:00,park,10,9,6,,6,,,4,9,6,9,4,7,-1,neutral,14,4,正直、今回はタイミングを間違えたかもしれない。
90,29,completed,friend,久しぶりの再会,2024-03-19T20:15:00,client_site,2,5,6,,,7,6,7,0,0,2,4,7,-2,positive,,,
91,5,completed,one_on_one,評価フィードバック,2024-03-26T21:46:00,office,3,3,8,,7,5,7,,3,3,0,7,3,-3,neutral,13,4,相手の反応が予想外で混乱した。振り返りが必要。
92,12,cancelled,interview,評価面談,2025-01-07T08:47:00,coworking,5,7,8,7,,,,,,,,,,,,,,
93,14,completed,partner,結婚について,2025-08-01T14:39:00,cafe,5,9,4,,,5,7,,6,3,10,3,5,-3,negative,,,
94,8,completed,partner,お金の話,2024-06-07T13:53:00,cafe,5,9,3,8,,9,,,2,2,5,2,4,0,negative,13,5,少し泣いたけど言いたいことは伝えられた。
95,9,completed,one_on_one,業務負荷の相談,2025-06-06T21:48:00,online,3,4,6,,,2,,,4,0,5,4,1,0,neutral,3,6,正直、今回はタイミングを間違えたかもしれない。
96,1,cancelled,one_on_one,業務負荷の相談,2025-08-01T16:10:00,home,2,4,8,,,7,5,,,,,,,,,,,
97,16,completed,interview,キャリアの方向性,2025-11-26T13:53:00,office,6,4,6,6,4,4,,,8,4,7,6,3,-5,negative,6,7,相手の反応が予想外で混乱した。振り返りが必要。
98,3,completed,one_on_one,キャリア相談,2025-04-18T12:20:00,park,3,4,5,,,4,4,,0,3,0,7,8,-2,neutral,,,
99,24,cancelled,interview,過去の退職理由,2024-08-11T09:23:00,client_site,9,9,6,10,,6,7,3,,,,,,,,,,
100,4,completed,interview,評価面談,2025-11-08T10:30:00,online,10,8,9,8,9,,3,,10,10,8,10,7,-3,neutral,2,6,かなりつらかったが、終わってみると少し楽になった。
101,4,planned,other,セラピーではない雑談,2026-02-16T10:15:00,home,6,4,7,,3,,,,,,,,,,,,,
102,20,completed,friend,価値観のズレ,2025-04-18T14:07:00,office,2,2,10,,,6,,,3,1,2,10,6,0,neutral,9,6,相手の反応が予想外で混乱した。振り返りが必要。
103,1,completed,partner,距離を置きたい,2024-05-03T12:05:00,home,5,10,4,6,,,,9,6,8,10,6,5,0,negative,1,4,ほとんど話せずに終わってしまった。次は準備を変えたい。
104,5,completed,one_on_one,業務負荷の相談,2024-05-17T13:08:00,client_site,3,5,10,2,10,,,,4,0,6,10,6,-1,neutral,14,4,少し泣いたけど言いたいことは伝えられた。
105,3,completed,partner,別れ話,2024-04-30T10:59:00,park,8,4,6,6,,,7,6,8,6,0,8,7,-3,neutral,8,8,泣かなかったが本音をあまり出せなかった。
106,20,cancelled,friend,価値観のズレ,2025-03-18T13:37:00,cafe,5,4,1,,7,,2,7,,,,,,,,,,
107,13,completed,client,契約更新,2024-03-14T11:33:00,office,10,4,7,8,8,,,,9,6,4,8,5,-1,very_negative,,,
108,4,completed,client,契約更新,2024-10-19T15:17:00,office,8,7,9,,5,,7,,9,7,6,5,5,-2,very_negative,2,4,相手の反応が予想外で混乱した。振り返りが必要。
109,6,completed,family,介護の相談,2024-05-25T08:25:00,park,0,5,3,7,6,,8,,0,0,3,2,6,3,positive,14,8,正直、今回はタイミングを間違えたかもしれない。
110,21,completed,interview,評価面談,2024-01-19T10:59:00,coworking,7,4,5,8,,9,,,9,5,3,4,5,-4,neutral,,,
111,8,planned,interview,評価面談,2026-02-06T19:22:00,cafe,5,2,7,6,8,10,5,,,,,,,,,,,
112,19,completed,other,自己開示の練習,2024-03-10T11:42:00,office,7,0,10,9,,9,4,,6,1,0,10,6,-2,negative,13,8,かなり落ち着いて話せた。準備が効いた感じがある。
113,2,completed,interview,転職理由,2024-07-24T17:14:00,online,6,10,7,9,,9,3,,4,8,3,3,9,-1,positive,3,10,かなりつらかったが、終わってみると少し楽になった。
114,28,cancelled,friend,疎遠になっている理由,2025-09-23T13:11:00,client_site,3,0,4,,6,,,,,,,,,,,,,
115,30,cancelled,other,自己開示の練習,2024-06-02T17:20:00,park,5,7,6,,,,,,,,,,,,,,,
116,3,completed,interview,転職理由,2024-11-21T12:50:00,online,7,9,8,8,,9,,,8,8,8,8,4,-2,very_positive,7,5,少し泣いたけど言いたいことは伝えられた。
117,4,completed,other,セラピーではない雑談,2025-11-19T08:27:00,client_site,6,5,4,7,,,,8,3,3,4,4,2,-1,negative,4,6,かなりつらかったが、終わってみると少し楽になった。
118,3,completed,interview,転職理由,2024-10-09T20:25:00,cafe,8,6,6,9,10,7,9,,8,3,6,5,0,-4,negative,14,3,泣かなかったが本音をあまり出せなかった。
119,15,completed,other,将来への漠然とした不安,2024-07-27T15:19:00,online,7,4,4,,,9,,,7,7,3,3,2,-1,negative,12,4,正直、今回はタイミングを間違えたかもしれない。
120,1,completed,one_on_one,人間関係の摩擦,2025-06-16T13:54:00,home,6,5,5,,4,,,,7,1,8,2,4,1,neutral,3,5,泣かなかったが本音をあまり出せなかった。
121,15,completed,one_on_one,人間関係の摩擦,2024-11-02T19:15:00,online,7,9,3,8,5,7,,,7,6,6,0,7,0,very_negative,,,
122,18,completed,client,トラブルの謝罪,2025-05-09T20:10:00,online,8,4,6,,8,,,,10,8,3,5,4,0,neutral,14,5,相手の反応が予想外で混乱した。振り返りが必要。
123,10,completed,one_on_one,キャリア相談,2024-08-19T19:53:00,client_site,7,5,8,4,7,,,,9,6,6,8,2,-5,very_negative,,,
124,3,completed,client,契約更新,2025-03-13T12:13:00,cafe,3,3,6,3,,,6,,2,1,3,3,0,-3,negative,1,4,正直、今回はタイミングを間違えたかもしれない。
125,23,completed,client,納期遅延の相談,2025-10-05T13:43:00,office,3,0,6,3,,9,,,5,1,0,8,1,-4,neutral,12,5,正直、今回はタイミングを間違えたかもしれない。
126,26,completed,other,セラピーではない雑談,2025-09-29T09:14:00,home,9,5,3,,,10,,,10,10,7,1,3,-2,unknown,10,4,相手の反応が予想外で混乱した。振り返りが必要。
127,2,planned,client,値上げ交渉,2026-02-03T09:31:00,home,8,8,8,,,,,,,,,,,,,,,
128,4,planned,interview,キャリアの方向性,2025-12-16T13:00:00,home,8,6,7,7,,6,,10,,,,,,,,,,
129,5,cancelled,partner,距離を置きたい,2024-11-08T14:56:00,client_site,8,5,10,9,,10,,,,,,,,,,,,
130,2,completed,one_on_one,評価フィードバック,2024-12-17T22:40:00,home,4,3,6,1,7,5,6,,4,5,2,4,5,-2,very_negative,12,4,正直、今回はタイミングを間違えたかもしれない。
131,2,cancelled,interview,キャリアの方向性,2026-02-02T12:53:00,coworking,6,5,9,3,,6,8,,,,,,,,,,,
132,28,planned,friend,久しぶりの再会,2025-12-08T19:06:00,home,5,0,5,10,,8,,9,,,,,,,,,,
133,1,cancelled,interview,キャリアの方向性,2024-10-30T13:57:00,cafe,4,6,10,6,8,9,,,,,,,,,,,,
134,2,completed,friend,価値観のズレ,2024-03-14T14:58:00,coworking,2,2,3,,,,,,2,1,2,3,6,-2,very_negative,,,
135,3,completed,other,セラピーではない雑談,2025-05-13T16:44:00,client_site,2,5,2,,,1,,,3,1,4,2,6,-3,neutral,,,
136,1,completed,one_on_one,人間関係の摩擦,2024-02-27T21:31:00,cafe,6,8,5,7,7,,,,5,3,4,7,6,-4,neutral,,,
137,10,planned,friend,謝罪,2025-12-01T15:07:00,online,5,5,6,3,,8,,8,,,,,,,,,,
138,11,completed,interview,評価面談,2024-07-06T15:52:00,park,6,9,10,,,,3,8,10,3,9,10,3,-3,negative,,,
139,2,cancelled,one_on_one,業務負荷の相談,2025-04-28T22:24:00,cafe,9,3,5,,10,6,,,,,,,,,,,,
140,27,completed,family,進路の話,2024-06-30T17:45:00,home,2,5,4,,4,,,,2,0,1,0,5,-1,very_positive,1,5,かなりつらかったが、終わってみると少し楽になった。
141,1,completed,one_on_one,キャリア相談,2024-09-17T18:16:00,office,5,3,6,,,,,,5,3,6,8,1,3,positive,1,4,かなりつらかったが、終わってみると少し楽になった。
142,3,completed,family,家族との距離感,2024-07-16T22:40:00,client_site,4,6,5,,,6,,9,5,3,7,6,2,-5,very_positive,,,
143,10,completed,friend,謝罪,2025-04-14T20:36:00,coworking,5,4,2,7,,,8,6,7,4,7,0,4,1,very_positive,8,0,ほとんど話せずに終わってしまった。次は準備を変えたい。
144,26,completed,family,進路の話,2024-01-08T18:56:00,home,6,4,5,10,,,,,7,5,6,5,0,-3,positive,4,6,少し泣いたけど言いたいことは伝えられた。
145,3,completed,client,納期遅延の相談,2025-09-21T21:04:00,client_site,5,9,6,8,8,9,,,2,2,6,7,4,2,very_positive,,,
146,4,planned,partner,結婚について,2026-02-11T18:19:00,coworking,8,6,4,6,,5,,,,,,,,,,,,
147,14,cancelled,other,将来への漠然とした不安,2025-09-22T13:00:00,coworking,5,4,3,,6,,10,,,,,,,,,,,
148,11,cancelled,one_on_one,評価フィードバック,2024-06-01T18:51:00,coworking,4,8,2,,7,8,,,,,,,,,,,,
149,13,completed,interview,転職理由,2024-06-14T13:31:00,cafe,6,4,8,,9,8,,,4,3,4,3,7,-1,negative,5,7,正直、今回はタイミングを間違えたかもしれない。
150,22,completed,client,値上げ交渉,2024-08-24T19:56:00,client_site,7,6,5,,7,,,,7,7,6,1,5,1,neutral,9,6,正直、今回はタイミングを間違えたかもしれない。
151,30,cancelled,family,進路の話,2025-02-27T10:11:00,coworking,6,2,1,,7,9,1,,,,,,,,,,,
152,4,completed,other,自己開示の練習,2024-01-08T18:20:00,online,1,3,5,,,,,,0,0,6,2,4,-3,positive,2,4,泣かなかったが本音をあまり出せなかった。
153,13,completed,interview,キャリアの方向性,2024-05-08T13:38:00,client_site,6,5,7,,8,,9,,8,5,5,9,10,-2,unknown,12,9,かなりつらかったが、終わってみると少し楽になった。
154,14,cancelled,one_on_one,評価フィードバック,2024-07-07T15:38:00,cafe,8,8,3,,,,,,,,,,,,,,,
155,2,completed,interview,評価面談,2024-04-30T17:06:00,office,5,6,7,,6,,,,6,3,7,5,4,0,positive,12,2,正直、今回はタイミングを間違えたかもしれない。
156,22,completed,partner,別れ話,2024-04-14T12:30:00,park,8,6,8,6,,,5,,6,8,6,7,8,-2,positive,13,7,ほとんど話せずに終わってしまった。次は準備を変えたい。
157,5,completed,friend,疎遠になっている理由,2024-05-30T13:35:00,coworking,7,3,4,5,,8,3,,8,3,2,4,1,-1,very_negative,,,
158,5,completed,family,親への近況報告,2024-02-02T12:14:00,home,7,5,8,7,,,,5,5,6,3,5,2,-1,very_positive,1,6,ほとんど話せずに終わってしまった。次は準備を変えたい。
159,1,completed,one_on_one,人間関係の摩擦,2024-11-24T18:25:00,cafe,3,5,6,7,,9,,,3,1,5,7,3,-3,very_negative,,,
160,24,completed,client,契約更新,2025-11-08T15:24:00,coworking,10,6,8,,,7,,,10,7,6,5,2,-3,neutral,,,
161,4,cancelled,partner,お金の話,2025-03-30T13:22:00,office,9,5,10,,,,7,,,,,,,,,,,
162,2,completed,other,将来への漠然とした不安,2025-10-08T15:39:00,online,6,3,4,,,,,,7,8,7,6,0,-2,neutral,11,5,少し泣いたけど言いたいことは伝えられた。
163,15,completed,partner,将来の暮らし,2023-12-11T18:13:00,cafe,5,5,9,6,,7,,,6,2,4,10,0,-3,very_positive,4,1,ほとんど話せずに終わってしまった。次は準備を変えたい。
164,2,completed,other,自己開示の練習,2025-03-27T20:00:00,office,4,7,8,,5,1,,,5,1,6,7,5,-5,neutral,2,3,かなり落ち着いて話せた。準備が効いた感じがある。
165,24,completed,other,自己開示の練習,2025-07-11T17:41:00,client_site,7,4,3,,9,,,,5,7,0,3,8,0,positive,12,8,かなり落ち着いて話せた。準備が効いた感じがある。
166,25,planned,friend,謝罪,2026-01-02T17:33:00,cafe,7,4,4,,,7,8,,,,,,,,,,,
167,1,completed,one_on_one,評価フィードバック,2024-03-14T12:39:00,office,8,4,6,,10,9,,,9,9,3,8,9,-3,negative,,,
168,24,completed,one_on_one,業務負荷の相談,2024-11-18T15:34:00,office,5,3,6,7,,7,2,,7,4,2,8,5,-1,neutral,7,5,かなりつらかったが、終わってみると少し楽になった。
169,4,completed,one_on_one,業務負荷の相談,2024-02-18T14:40:00,office,9,6,3,,5,7,8,,10,7,4,2,7,-1,unknown,3,7,かなりつらかったが、終わってみると少し楽になった。
170,5,completed,interview,転職理由,2024-05-01T08:31:00,office,6,10,9,,,7,,,8,2,10,9,1,-4,very_negative,12,6,かなりつらかったが、終わってみると少し楽になった。
171,19,cancelled,partner,お金の話,2025-03-27T14:43:00,home,7,8,9,,5,7,4,3,,,,,,,,,,
172,5,completed,interview,過去の退職理由,2025-07-19T09:25:00,park,10,7,6,4,,6,,5,10,10,5,6,1,-3,negative,6,6,ほとんど話せずに終わってしまった。次は準備を変えたい。
173,1,completed,one_on_one,キャリア相談,2024-08-11T22:02:00,cafe,4,3,5,,6,,,,6,4,2,2,7,-4,unknown,6,7,正直、今回はタイミングを間違えたかもしれない。
174,12,completed,one_on_one,評価フィードバック,2025-10-03T16:52:00,cafe,5,2,6,,8,1,8,3,6,5,0,2,7,-1,negative,4,9,かなりつらかったが、終わってみると少し楽になった。
175,5,completed,client,トラブルの謝罪,2025-03-22T20:40:00,online,6,1,8,4,4,,6,,7,6,2,10,0,-4,negative,12,7,かなり落ち着いて話せた。準備が効いた感じがある。
176,14,completed,friend,疎遠になっている理由,2024-03-14T10:50:00,office,6,1,4,,,,,,6,6,0,3,0,-3,neutral,7,6,かなり落ち着いて話せた。準備が効いた感じがある。
177,10,cancelled,partner,結婚について,2023-12-05T12:14:00,office,7,10,7,,,,6,,,,,,,,,,,
178,3,completed,client,トラブルの謝罪,2025-07-05T14:36:00,office,7,5,2,8,4,,7,4,10,6,3,6,1,-1,unknown,11,8,かなりつらかったが、終わってみると少し楽になった。
